id,name,x,y,player_id,points,bonus
1,Minas+Morgul,503,509,581465,9663,0
2,-+010+-+REGOLARE,503,490,1061441,10067,0
3,-+019+-+REGOLARE,507,499,1061441,10129,0
4,%5B069%5D+Erotico,511,487,848901938,10252,0
5,A096,523,465,848883644,10019,0
6,A009+Are+u+G%3F,475,527,530653,9985,0
7,%5BA054%5D+BadNews,500,485,1052431,10125,0
8,0001,523,469,72640,10019,0
9,0002,503,507,72640,10495,0
10,C003.Windhelm,515,491,848899224,10178,1
11,-+080+-+REGOLARE,513,487,1061441,10252,0
12,%5B018%5D+Malizia,486,473,848901938,10131,0
13,001+Villaggio+di+idealeultras,480,519,161772,10003,0
14,A+%5B044%5D,482,498,848893340,10160,0
15,%5B005%5Dxman,509,494,848899528,9835,0
16,%5BA008%5D+COCOCO,509,526,1041009,10030,0
17,C040+%23AnalcolicoBiondo,481,495,586914,10393,0
18,%5BA012%5D+IL+SULTANO+DI+BABILONIA,490,492,1075129,9993,0
19,%5BA003%5D+SPIPETTAMI+TUTTAH,490,494,1075129,9993,9
20,old+style-,515,504,848902172,9889,0
21,Barad+-+D%C3%B9r+IV,509,489,581465,10252,0
22,E03-+Fortaleza,516,504,848900055,9994,1
23,C008.Winterhold,517,499,848899224,10178,0
24,%5B047%5D+Ira,495,478,848901938,10083,0
25,-+023+-+REGOLARE,506,496,1061441,10078,0
26,C149.MARGOT,518,500,848899224,10178,0
27,C075+%23Zzzz,469,500,586914,10503,0
28,-+074+-+REGOLARE,513,491,1061441,10595,0
29,065,483,479,848880906,10362,0
30,C108+%23Perch%C3%A8NonSono,466,511,586914,10393,0
31,A+%5B017%5D,487,510,848893340,10107,0
32,%2Aokay,520,525,848902172,9889,0
33,F03-+MARGOT+A2%2A%2A%2A,522,502,848900055,9825,0
34,A045+-+Arriver%C3%A0+Pasqua,527,522,595779,10252,0
35,C+%5B30%5D,491,473,557732,10144,0
36,004+josefh,531,516,963123,10266,0
37,%5BA085%5D+COCOCO,499,510,1041009,10075,0
38,Barad+-+D%C3%B9r+V,506,487,581465,10495,0
39,W82+-+300+-+F,487,485,848880083,10320,0
40,Moria+II,501,505,581465,8101,3
41,A%5B044%5D+BUNKERACHEARRIVO,532,527,1093778,9882,0
42,%5BA046%5D,484,503,1075129,9993,0
43,A029+-+Simo+aveva+ragione,523,518,595779,10252,0
44,A+%5B041%5D,488,495,848893340,10107,0
45,A+%5B009%5D,489,501,848893340,10107,9
46,A030+-+Alch3+Magico,523,519,595779,10252,0
47,079,486,496,848880906,10067,0
48,Gab017,471,527,1087496,9717,0
49,%5BA019%5D+COCOCO,505,531,1041009,10116,0
50,A072+-+Bello+il+pala+nob+vero%3F,525,522,595779,10252,0
52,-+091+-+REGOLARE,511,498,1061441,10636,0
53,A048+-+Simo+latitante,528,522,595779,10252,0
54,001,522,528,848902172,11231,0
55,The+Big+Red+Machine,484,518,337080,10073,6
56,A%2305+korosu,525,509,848895440,11177,0
57,0003,491,486,72640,10495,0
58,%5B046%5D+Dolore,495,481,848901938,10083,7
59,A071+-+Ci+piacciono+i+raid,526,525,595779,10252,0
60,A+%5B051%5D,495,502,848893340,10160,0
61,B06+Ensiferum,533,518,579226,9960,0
62,%5B008%5DS,523,510,848899528,10066,0
63,%5BA090%5D+COCOCO,502,500,1041009,8917,0
64,%5BA048%5D+BadNews,494,475,1052431,10125,0
66,E06-+okay12,516,507,848900055,9994,0
67,A+%5B045%5D+Back+Home,487,502,848893340,10107,0
68,The+Big+Red+Machine,485,511,337080,10090,0
69,NGC10,482,513,1091922,9817,0
70,-+006+-+REGOLARE,505,487,1061441,9719,5
71,Khazad-d%C3%B9m,502,508,581465,8404,0
72,%5BA014%5D+COCOCO,493,531,1041009,9879,0
73,%5B004%5D,524,507,848899528,9802,1
74,The+Big+Red+Machine,491,518,337080,10251,0
75,M+%5B007%5D,482,522,4976,10140,0
76,The+Big+Red+Machine,484,519,337080,10192,0
77,076,482,497,848880906,11361,0
78,F%2301,486,510,848895440,12036,0
79,14+Mordor,506,511,597119,10301,0
80,047%7C+Adda+Ven%C3%AC+Baffone,487,518,848890768,9659,0
81,%5BA089%5D+COCOCO,493,516,1041009,10083,0
82,0004,495,466,72640,10019,0
83,The+Big+Red+Machine,487,512,337080,10075,0
84,%5BA034%5D+COCOCO,522,526,1041009,10209,0
85,old+style-,516,476,848902172,9889,0
86,A%5B023%5D,530,523,1093778,9977,0
87,%5B052%5D+Barbaro,485,475,848901938,10718,8
88,01-Mauda,503,463,599281,10019,0
89,A%5B070%5D,528,514,1093778,10052,0
90,C004.Markarth,515,496,848899224,10178,1
91,%5BA045%5D+COCOCO,521,522,1041009,9316,0
92,A066+-+Una+Cadrega+Per+Due,516,523,595779,10252,0
93,0005,492,478,72640,11613,1
94,A%2301+RISO,518,527,848895440,9650,0
95,A+%5B005%5D,490,500,848893340,10107,2
96,A073+-+Noi+non+dormiamo+e+tu%3F,524,524,595779,10393,0
97,-+087+-+REGOLARE,499,492,1061441,10636,0
98,C+006+HELL+COMES,518,533,556176,11347,0
99,0006,501,473,72640,10019,0
100,-+055+-+REGOLARE,515,502,1061441,10066,2
101,Erebor,519,535,581465,9040,0
102,67+SAURON,490,474,597119,10147,0
103,NGC+4,481,508,848893524,10943,0
104,A+%5B014%5D,473,511,848893340,10160,6
105,A%5B001%5D,532,526,1093778,10031,0
106,%7C+003+%7C+LUDOPATIA,484,496,1061441,10104,0
107,A%5B002%5D,527,521,1093778,10106,0
108,058,475,494,848880906,10559,0
109,-+015+-+REGOLARE,509,497,1061441,10421,0
110,018%7C,492,480,74516,10605,0
112,Cirith+Ungol,504,511,581465,8466,0
115,%5BA020%5D+GARIBALDI+FU+FERITO,482,495,1075129,9993,0
116,%5BA022%5D+COCOCO,500,531,1041009,9516,0
117,%7C+004+%7C+LUDOPATIA,484,493,1061441,10233,0
118,%5B016%5D,527,507,848899528,10019,0
119,A+%5B012%5D,489,502,848893340,10107,0
120,-+061+-+REGOLARE,515,499,1061441,10066,0
121,AC01+-+Orso+Bianco,538,492,249189,9999,0
122,RESIDENCE+IL+BOSCACCIO+007,540,494,1089824,9835,0
123,%5B021%5D,521,501,848899528,10147,0
124,-+026+-+REGOLARE,497,490,1061441,9736,0
125,%2A007%2A,513,524,1078866,9765,0
126,%5BA025%5D+NEVIO+LO+STIRATO,499,489,1075129,9936,0
127,C113+%23Rode,472,505,586914,10694,0
128,AE07+-+Master,541,485,249189,9999,0
129,%5BA019%5D+CINACIELO,493,485,1075129,9993,0
130,37+Fosso+di+Helm,508,506,597119,11407,0
131,AC02+-+Spadaccino+Nero,532,489,249189,9999,0
132,%5B001%5D+DontSpillTheJuice,497,486,848901938,9981,0
133,W82+-+301+-+F,487,484,848880083,10019,0
134,%5BA013%5D+DOVE+LA+METTO+LA+BENNA,482,496,1075129,9993,0
135,%5B036%5D+Gym,512,490,848899528,9881,0
136,The+Big+Red+Machine,487,514,337080,9773,0
137,002,513,511,848902172,9889,8
138,048%7C+Adda+Ven%C3%AC+Baffone,489,519,848890768,10000,0
139,A+%5B027%5D,482,508,848893340,10160,0
140,%5BA001%5D+NOME+TROPPO+LUNGO,491,491,1075129,9795,0
141,D+%5B02%5D,520,479,557732,10019,0
142,%2A006%2A,516,521,1078866,9708,0
143,The+Big+Red+Machine,488,513,337080,10071,0
144,0007,493,484,72640,10495,4
145,W82+-+053,475,471,848880083,10019,0
146,-+030+-+REGOLARE,507,501,1061441,10362,0
147,A%5B013%5D,532,530,1093778,9965,0
148,053,477,481,848880906,10003,0
149,E+%5B001%5D,524,531,4976,10140,0
150,C037+%23AnalcolicoBiondo,478,488,586914,11735,0
151,0026.2+Centro,497,474,472322,10495,0
152,B024+BAJO,542,496,519880,10252,0
153,-+033+-+REGOLARE,507,503,1061441,10160,0
154,%5B007%5DZimbawe,513,499,848899528,10083,0
155,0008,514,497,72640,10019,0
156,0009,514,498,72640,10019,0
157,Rohan+IV,518,503,581465,10001,0
158,%5BA007%5D+COCOCO,508,526,1041009,10010,0
159,Fosso+di+Helm+II,519,496,581465,10495,0
160,0010,509,479,72640,10019,0
161,-+077+-+REGOLARE,511,486,1061441,10252,0
162,0011,493,478,72640,10495,0
163,A08-+Iron+Maiden,519,483,848900055,9735,7
164,A+%5B040%5D,510,494,848893340,10160,0
165,A+%5B057%5D,491,506,848893340,10160,0
166,%5BZoO%5D,540,487,355357,10197,0
167,%5B044%5D+Tradimento,503,471,848901938,10083,0
168,old+style-,515,483,848902172,9889,0
169,%5B045%5D,529,506,848899528,9835,0
170,B05-+allo+Kebabbo+non+resisto,527,494,848900055,9761,0
171,-+008+-+REGOLARE,505,492,1061441,10354,0
172,C050.Minas+Tirith,513,493,848899224,10178,0
173,%5B031%5D+B%C3%BAzios,529,507,848899528,9651,7
174,A18+-+Osgiliath,515,489,848900055,9797,0
175,A+%5B019%5D,483,499,848893340,10107,0
176,0012,497,469,72640,10019,2
177,-+048+-+REGOLARE,504,485,1061441,10019,0
178,C040.,517,497,848899224,10178,0
179,A21-+La+SoLiTa+FaRm,522,488,848900055,9735,0
180,%5B066%5D+Scarmiglione,491,484,848901938,10412,0
181,-+089+-+REGOLARE,510,498,1061441,10636,0
182,Barad+-+D%C3%B9r+V.1,507,486,581465,11502,0
183,-+042+-+REGOLARE,507,492,1061441,10083,0
184,%5BA018%5D+COCOCO,507,530,1041009,9632,0
185,C+%5B20%5D,473,473,557732,10019,0
187,W82+-+302+-+F,487,483,848880083,9761,0
188,A+%5B032%5D,501,497,848893340,10107,0
189,%5B016%5D+Rabbia,495,492,848901938,10426,0
190,054,475,484,848880906,10019,0
191,-+064+-+REGOLARE,516,495,1061441,10083,0
192,038,483,485,848880906,10019,0
193,A+008+Skupruz84,481,530,848893524,9761,0
194,A+%5B011%5D,485,509,848893340,10160,0
195,000+-+Bilbo+Baggins+carabiniere,526,474,848900055,9735,0
196,%5B043%5D+Regale,501,482,848901938,10083,0
197,042,469,489,848880906,10252,0
198,0013,536,485,72640,10019,0
199,%5B018%5D+Molletta,520,502,848899528,9761,0
200,055,478,481,848880906,10003,0
201,A13-+Gasp%C3%A0,520,485,848900055,10019,0
202,029,469,496,848880906,10019,0
203,%5B011%5DZarro,521,492,848899528,9745,1
204,070,485,482,848880906,10019,0
205,A+%5B039%5D,512,494,848893340,11153,0
206,-+018+-+REGOLARE,507,497,1061441,10348,0
207,%5B010%5DVillico,521,491,848899528,9989,0
208,B003+Sto+lavorando,470,499,277006,10369,0
209,M+%5B001%5D,488,520,4976,10140,0
210,%5BA083%5D+COCOCO,497,518,1041009,9539,0
211,A+%5B034%5D,505,497,848893340,10107,6
212,A+%5B001%5D+The+One,489,505,848893340,10107,0
213,A+%5B028%5D,493,502,848893340,10107,0
214,%5BB+08%5D+-+M9D+FALKE,525,467,674489,9738,0
215,%5BA097%5D+COCOCO,493,511,1041009,9978,0
216,A004+-+MaiUnaGioia,502,523,595779,10252,0
217,C174.,495,506,848899224,10426,0
218,%5BA020%5D+BadNews,511,463,1052431,10125,0
219,A+%5B005%5D%2Abis,490,499,848893340,10107,0
220,0029.6+Centro,506,471,472322,9448,0
221,The+Big+Red+Machine,490,514,337080,9858,0
222,%2ARegno+di+Angmar%2A,500,507,581465,10026,0
223,%5BA078%5D+COCOCO,500,517,1041009,10075,0
224,ANGMAR+V,519,469,581465,10160,0
225,%5BA099%5D+COCOCO,493,512,1041009,10003,0
226,-+003+-+REGOLARE,500,490,1061441,9718,8
227,B029+BAJO,532,495,519880,9699,0
228,-+059+-+REGOLARE,516,502,1061441,9460,0
229,011+evidenziatore,527,515,963123,10160,0
230,-+045+-+REGOLARE,502,486,1061441,10019,0
231,A+%5B021%5D,484,504,848893340,10160,6
232,Brea,513,508,581465,8416,0
233,A025+-+Ci+piace+esagerare,501,526,595779,10252,0
234,%5BA039%5D+COCOCO,520,522,1041009,9709,0
235,034,496,525,1556,11566,0
236,E+%5B005%5D,526,531,4976,10140,0
237,-+022+-+REGOLARE,508,499,1061441,10362,0
238,D02-+Domani,494,513,848900055,9994,0
239,%5BA096%5D+COCOCO,494,511,1041009,10000,0
240,torre96-05,516,524,848902172,9889,0
241,Barad+-+D%C3%B9r+III,507,489,581465,10160,0
242,old+style-,514,515,848902172,9889,0
243,070+Treninosim,482,475,848900787,9835,7
244,Barad+-+D%C3%B9r+IX,508,485,581465,10252,0
245,%5BA026%5D+PAOLO+BROSIO,497,494,1075129,9993,0
246,A+%5B004%5D,491,504,848893340,10107,8
247,076+Treninosim,482,477,848900787,10040,0
248,%5B015%5D+Ricordo,490,481,848901938,10426,0
249,A041+-+Bannate+Elisa,517,522,595779,10252,0
250,G07-+Moria+II,522,515,848900055,9994,0
251,B002+Sert+Attack,467,496,277006,10006,0
252,043,469,490,848880906,10019,0
253,%5BA024%5D+LAPO+ELKANN,496,496,1075129,9993,0
254,001+NIENTE+RUSSO,473,535,603026,9983,0
255,NGC+7,477,508,1091922,10622,0
256,%5BA086%5D+COCOCO,498,510,1041009,10075,4
257,A05+No+Ally+No+Party,483,538,169823,10057,0
258,0014,500,474,72640,10019,0
259,D+%5B13%5D,528,468,557732,10362,0
260,C001,495,501,848885957,11342,0
261,0015,518,471,72640,10019,0
262,%5BA041%5D,481,502,1075129,9993,0
263,N+%5B023%5D,493,469,1078866,9835,0
264,-+058+-+REGOLARE,511,475,1061441,10141,0
265,D+%5B09%5D,526,467,557732,10252,0
266,038%7C,495,461,74516,9644,0
267,017%7C,490,478,74516,9828,0
268,C028+%23Roma,466,512,586914,10393,0
269,A+%5B050%5D,495,507,848893340,10160,8
270,A032,503,458,848883644,10019,0
271,D+%5B04%5D,519,481,557732,10019,0
272,A006+-+QuaQuaRaQu%C3%A0,510,524,595779,10252,5
273,A076+-+SanJorio+best+friend,514,527,595779,10252,0
274,The+Big+Red+Machine,484,509,337080,10838,0
275,A013+-+Le+scuse+di+Simo+e+Leo,511,522,595779,10252,0
276,%5BA014%5D+LA+PROSTITUTA,484,492,1075129,9993,0
277,%5BA005%5D+COCOCO,501,530,1041009,9801,0
278,Foresta+di+Fangorn+IV,507,506,581465,9836,0
279,Moria,501,509,581465,8295,3
280,D+%7C+004,510,537,848893976,10718,0
281,%5BA051%5D+BadNews,496,479,1052431,10125,0
282,%5BA004%5D+COCOCO,499,531,1041009,9320,0
283,A+%5B033%5D,504,498,848893340,10107,0
284,022B,524,519,581465,9585,7
286,ZQ-C03,481,535,7140,10019,0
287,%5BA01%5D+Los+Pandas+Hermanos,498,457,1034803,9637,0
288,12+Porti+Grigi,513,472,597119,10301,0
