433|503
434|505
434|509
433|506
435|502
434|507
435|503
433|510
434|510
431|503
431|499
432|510
430|505
430|499
431|504
429|500
429|502
428|500
430|501
428|509
427|501
429|509
427|502
428|508
428|510
427|503
431|501
427|504
434|506
428|499
426|508
426|503
426|502
426|499
425|506
425|505
482|498
469|500
484|503
489|501
487|502
490|500
489|502
472|505
483|499
489|505
493|502
490|499
491|504
472|507
488|500
482|503
470|506
481|504
490|504
482|499
489|500
490|502
491|499
492|503
470|507
471|505
471|507
471|502
473|506
483|504
482|504
488|502
469|503
485|501
487|500
471|506
489|503
486|499
468|500
468|507
471|503
467|503
483|500
466|504
483|503
484|504
525|522
526|525
524|524
527|521
524|523
509|519
503|514
505|514
504|515
510|519
525|525
502|515
511|517
507|517
502|513
525|521
526|519
527|520
524|525
530|524
529|525
506|518
526|526
525|526
524|526
500|517
528|526
502|518
499|519
499|518
502|517
503|517
499|515
529|528
530|525
498|517
531|523
529|526
529|527
499|516
541|529
547|526
544|530
542|533
547|527
545|530
546|527
544|535
549|529
546|530
545|533
545|535
544|534
548|528
546|532
547|531
547|532
546|534
548|530
544|536
549|530
546|535
554|549
555|546
554|552
556|550
554|553
556|549
558|551
556|552
556|554
557|553
558|553
559|552
557|554
552|551
553|551
553|552
553|556
554|556
